Source              TradingSymbol                                                                                        Strike       OptionType Open         High         Low          Close        LastPrice    Records    
------------------- ---------------------------------------------------------------------------------------------------- ------------ ---------- ------------ ------------ ------------ ------------ ------------ -----------

(0 rows affected)
Source          TradingSymbol                                                                                        Strike       OptionType Open         High         Low          Close        LastPrice    Records    
--------------- ---------------------------------------------------------------------------------------------------- ------------ ---------- ------------ ------------ ------------ ------------ ------------ -----------
ALL_SENSEX_DATA SENSEX25DEC75200CE                                                                                       75200.00 CE                  .00          .00          .00      8228.70      8228.70           7
ALL_SENSEX_DATA SENSEX25DEC75200PE                                                                                       75200.00 PE                  .00          .00          .00        44.60        44.60           7
ALL_SENSEX_DATA SENSEX25DEC75300CE                                                                                       75300.00 CE                  .00          .00          .00      8132.85      8132.85           7
ALL_SENSEX_DATA SENSEX25DEC75300PE                                                                                       75300.00 PE                  .00        67.05          .05        47.55        47.55           7
ALL_SENSEX_DATA SENSEX25DEC75400CE                                                                                       75400.00 CE                  .00        88.00          .05      8037.15      8037.15           7
ALL_SENSEX_DATA SENSEX25DEC75400PE                                                                                       75400.00 PE                  .00          .00          .00        50.70        50.70           7
ALL_SENSEX_DATA SENSEX25DEC75500CE                                                                                       75500.00 CE                  .00         3.95          .05      7941.60      7941.60           7
ALL_SENSEX_DATA SENSEX25DEC75500PE                                                                                       75500.00 PE                  .00      3758.75      3570.00        54.00        54.00           7
ALL_SENSEX_DATA SENSEX25DEC75600CE                                                                                       75600.00 CE                  .00          .00          .00      7846.30      7846.30           7
ALL_SENSEX_DATA SENSEX25DEC75600PE                                                                                       75600.00 PE                  .00         1.95          .05        57.50        57.50           7
ALL_SENSEX_DATA SENSEX25DEC75700CE                                                                                       75700.00 CE                  .00          .00          .00      7751.15      7751.15           7
ALL_SENSEX_DATA SENSEX25DEC75700PE                                                                                       75700.00 PE                  .00          .00          .00        61.20        61.20           7
ALL_SENSEX_DATA SENSEX25DEC75800CE                                                                                       75800.00 CE                  .00          .00          .00      7656.20      7656.20           7
ALL_SENSEX_DATA SENSEX25DEC75800PE                                                                                       75800.00 PE                  .00          .00          .00        65.05        65.05           7
ALL_SENSEX_DATA SENSEX25DEC75900CE                                                                                       75900.00 CE                  .00          .00          .00      7561.45      7561.45           7
ALL_SENSEX_DATA SENSEX25DEC75900PE                                                                                       75900.00 PE                  .00          .00          .00        69.15        69.15           7
ALL_SENSEX_DATA SENSEX25DEC76000CE                                                                                       76000.00 CE                  .00          .00          .00      7466.95      7466.95           7
ALL_SENSEX_DATA SENSEX25DEC76000PE                                                                                       76000.00 PE                  .00          .00          .00        73.45        73.45           7
ALL_SENSEX_DATA SENSEX25DEC76100CE                                                                                       76100.00 CE                  .00          .00          .00      7372.65      7372.65           7
ALL_SENSEX_DATA SENSEX25DEC76100PE                                                                                       76100.00 PE                  .00        83.75        83.75        78.00        78.00           7
ALL_SENSEX_DATA SENSEX25DEC76200CE                                                                                       76200.00 CE                  .00          .00          .00      7278.55      7278.55           7
ALL_SENSEX_DATA SENSEX25DEC76200PE                                                                                       76200.00 PE                  .00          .00          .00        82.75        82.75           7
ALL_SENSEX_DATA SENSEX25DEC76300CE                                                                                       76300.00 CE                  .00         1.55          .05      7184.75      7184.75           7
ALL_SENSEX_DATA SENSEX25DEC76300PE                                                                                       76300.00 PE                  .00          .00          .00        87.75        87.75           7
ALL_SENSEX_DATA SENSEX25DEC76400CE                                                                                       76400.00 CE                  .00          .00          .00      7091.20      7091.20           7
ALL_SENSEX_DATA SENSEX25DEC76400PE                                                                                       76400.00 PE                  .00          .00          .00        93.00        93.00           7
ALL_SENSEX_DATA SENSEX25DEC76500CE                                                                                       76500.00 CE                  .00          .00          .00      6997.90      6997.90           7
ALL_SENSEX_DATA SENSEX25DEC76500PE                                                                                       76500.00 PE                  .00          .00          .00        98.55        98.55           7
ALL_SENSEX_DATA SENSEX25DEC76600CE                                                                                       76600.00 CE                  .00          .00          .00      6904.85      6904.85           7
ALL_SENSEX_DATA SENSEX25DEC76600PE                                                                                       76600.00 PE                  .00         1.00          .05       104.35       104.35           7
ALL_SENSEX_DATA SENSEX25DEC76700CE                                                                                       76700.00 CE                  .00      1161.50       840.00      6812.10      6812.10           7
ALL_SENSEX_DATA SENSEX25DEC76700PE                                                                                       76700.00 PE                  .00          .00          .00       110.40       110.40           7
ALL_SENSEX_DATA SENSEX25DEC76800CE                                                                                       76800.00 CE                  .00          .00          .00      6719.65      6719.65           7
ALL_SENSEX_DATA SENSEX25DEC76800PE                                                                                       76800.00 PE                  .00          .00          .00       116.80       116.80           7
ALL_SENSEX_DATA SENSEX25DEC76900CE                                                                                       76900.00 CE                  .00          .00          .00      6627.50      6627.50           7
ALL_SENSEX_DATA SENSEX25DEC76900PE                                                                                       76900.00 PE                  .00          .00          .00       123.45       123.45           7
ALL_SENSEX_DATA SENSEX25DEC77000CE                                                                                       77000.00 CE                  .00          .00          .00      6535.65      6535.65           7
ALL_SENSEX_DATA SENSEX25DEC77000PE                                                                                       77000.00 PE                  .00       802.00       791.00       130.45       130.45           7
ALL_SENSEX_DATA SENSEX25DEC77100CE                                                                                       77100.00 CE                  .00        35.65        35.65      6444.15      6444.15           7
ALL_SENSEX_DATA SENSEX25DEC77100PE                                                                                       77100.00 PE                  .00          .00          .00       137.75       137.75           7
ALL_SENSEX_DATA SENSEX25DEC77200CE                                                                                       77200.00 CE                  .00          .00          .00      6353.00      6353.00           7
ALL_SENSEX_DATA SENSEX25DEC77200PE                                                                                       77200.00 PE                  .00          .00          .00       145.40       145.40           7
ALL_SENSEX_DATA SENSEX25DEC77300CE                                                                                       77300.00 CE                  .00          .00          .00      6262.15      6262.15           7
ALL_SENSEX_DATA SENSEX25DEC77300PE                                                                                       77300.00 PE                  .00          .00          .00       153.40       153.40           7
ALL_SENSEX_DATA SENSEX25DEC77400CE                                                                                       77400.00 CE                  .00          .00          .00      6171.70      6171.70           7
ALL_SENSEX_DATA SENSEX25DEC77400PE                                                                                       77400.00 PE                  .00         1.60          .05       161.75       161.75           7
ALL_SENSEX_DATA SENSEX25DEC77500CE                                                                                       77500.00 CE                  .00       365.50          .05      6081.60      6081.60           7
ALL_SENSEX_DATA SENSEX25DEC77500PE                                                                                       77500.00 PE                  .00          .00          .00       170.50       170.50           7
ALL_SENSEX_DATA SENSEX25DEC77600CE                                                                                       77600.00 CE                  .00       229.65          .05      5991.85      5991.85           7
ALL_SENSEX_DATA SENSEX25DEC77600PE                                                                                       77600.00 PE                  .00          .00          .00       179.60       179.60           7
ALL_SENSEX_DATA SENSEX25DEC77700CE                                                                                       77700.00 CE                  .00          .00          .00      5902.55      5902.55           7
ALL_SENSEX_DATA SENSEX25DEC77700PE                                                                                       77700.00 PE                  .00          .00          .00       189.10       189.10           7
ALL_SENSEX_DATA SENSEX25DEC77800CE                                                                                       77800.00 CE                  .00        51.45        51.45      5813.60      5813.60           7
ALL_SENSEX_DATA SENSEX25DEC77800PE                                                                                       77800.00 PE                  .00       185.90          .05       199.00       199.00           7
ALL_SENSEX_DATA SENSEX25DEC77900CE                                                                                       77900.00 CE                  .00          .00          .00      5725.10      5725.10           7
ALL_SENSEX_DATA SENSEX25DEC77900PE                                                                                       77900.00 PE                  .00      3346.95      3076.60       209.30       209.30           7
ALL_SENSEX_DATA SENSEX25DEC78000CE                                                                                       78000.00 CE                  .00          .00          .00      5637.05      5637.05           7
ALL_SENSEX_DATA SENSEX25DEC78000PE                                                                                       78000.00 PE                  .00          .00          .00       220.05       220.05           7
ALL_SENSEX_DATA SENSEX25DEC78100CE                                                                                       78100.00 CE                  .00          .00          .00      5549.40      5549.40           7
ALL_SENSEX_DATA SENSEX25DEC78100PE                                                                                       78100.00 PE                  .00          .80          .05       231.25       231.25           7
ALL_SENSEX_DATA SENSEX25DEC78200CE                                                                                       78200.00 CE                  .00          .00          .00      5462.20      5462.20           7
ALL_SENSEX_DATA SENSEX25DEC78200PE                                                                                       78200.00 PE                  .00          .00          .00       242.90       242.90           7
ALL_SENSEX_DATA SENSEX25DEC78300CE                                                                                       78300.00 CE                  .00          .00          .00      5375.50      5375.50           7
ALL_SENSEX_DATA SENSEX25DEC78300PE                                                                                       78300.00 PE                  .00          .00          .00       255.00       255.00           7
ALL_SENSEX_DATA SENSEX25DEC78400CE                                                                                       78400.00 CE                  .00          .00          .00      5289.25      5289.25           7
